id;name;old_name;name_display
524;;Пулюя Івана;Пулюя Івана
263;;Путивльська;Путивльська
545;;Пушиної Феодори;Пушиної Феодори
906;;Пушкiнська;Пушкiнська
181;;Пушкінська;Пушкінська
983;;Радгосп Совки;Радгосп Совки
3;;Радистів;Радистів
229;;Радунська;Радунська
119;;Радченка Петра;Радченка Петра
371;;Раєвського Миколи;Раєвського Миколи
23;;Райгородська;Райгородська
241;;Райдужна;Райдужна
760;;Райніса Яна;Райніса Яна
574;;Ракетна;Ракетна
261;Сверстюка Євгена;Раскової Марини;Сверстюка Євгена / Раскової Марини
48;;Ревуцького;Ревуцького
441;;Рейтарська;Рейтарська
445;;Рибалка маршала;Рибалка маршала
313;;Рибальська;Рибальська
280;;Ризька;Ризька
950;Курінного Петра;Рикова комісара;Курінного Петра / Рикова комісара
978;Куріного Петра;Рикова комісара;Куріного Петра / Рикова комісара
278;;Рикова комісара;Рикова комісара
737;;Рилєєва;Рилєєва
440;;Рильський;Рильський
219;;Різницька;Різницька
293;;Рогнідинська;Рогнідинська
538;;Рогозівська;Рогозівська
173;;Родимцева генерала;Родимцева генерала
626;;Роздільна;Роздільна
860;;Рокосовського маршала;Рокосовського маршала
804;;Рокоссовського маршала;Рокоссовського маршала
339;;Роллана Ромена;Роллана Ромена
122;;Російська;Російська
279;;Руданського  Степана;Руданського  Степана
153;;Руденко Лариси;Руденко Лариси
940;Шевельова Юрія;Руднєва;Шевельова Юрія / Руднєва
942;Качуровського Ігоря;Руднєва;Качуровського Ігоря / Руднєва
71;;Руднєва;Руднєва
995;Ружинська;Ружинська;Ружинська / Ружинська
736;;Русанівська;Русанівська
135;;Русанівський;Русанівський
319;;Руставелі Шота;Руставелі Шота
231;;Сабурова Олександра;Сабурова Олександра
598;;Сагайдачного Петра;Сагайдачного Петра
102;;Саксаганського;Саксаганського
417;;Салютна;Салютна
67;;Санаторна;Санаторна
372;;Саперне Поле;Саперне Поле
707;;Саратовська;Саратовська
723;;Світла;Світла
140;;Світлицького;Світлицького
94;;Свободи;Свободи
655;;Святославська;Святославська
562;;Святошинська;Святошинська
518;;Святошинський;Святошинський
124;;Севастопольська;Севастопольська
517;;Семашка;Семашка
480;;Семенівська;Семенівська
943;Миколайчука Івана;Серафимовича;Миколайчука Івана / Серафимовича
137;;Серафимовича;Серафимовича
271;;Сергiєнка Iвана;Сергiєнка Iвана
977;Миколайчука Івана;Серефимовича;Миколайчука Івана / Серефимовича
844;;Серефимовича;Серефимовича
29;;Серпова;Серпова
272;;Сєрова Валентина;Сєрова Валентина
672;;Сєченова;Сєченова
116;;Симиренка;Симиренка
676;;Синьоозерна;Синьоозерна
22;;Сирецька;Сирецька
7;;Сільська;Сільська
333;;Сімферопольська;Сімферопольська
771;;Сірка Івана;Сірка Івана
218;Микильський;Січневий;Микильський / Січневий
998;;Січових Стрільців;Січових Стрільців
571;;Сковороди Григорія;Сковороди Григорія
118;;Славгородська;Славгородська
930;;Слов''янська;Слов''янська
481;;Слов'янська;Слов'янська
907;;Смирнова-Ласточкiна;Смирнова-Ласточкiна
489;узвіз Вознесенський;Смирнова-Ласточкіна;узвіз Вознесенський / Смирнова-Ласточкіна
61;;Смілянська;Смілянська
652;;Смоленська;Смоленська
164;;Смолича Юрія;Смолича Юрія
832;;Сокальська;Сокальська
377;;Соловцова Миколи;Соловцова Миколи
929;;Солом''янська;Солом''янська
450;;Солом'янська;Солом'янська
724;;Сормовська;Сормовська
756;;Сортувальна;Сортувальна
535;;Сосницька;Сосницька
674;;Сосніних сім'ї;Сосніних сім'ї
134;;Сосюри;Сосюри
908;;Софiївська;Софiївська
310;;Софіївська;Софіївська
13;;Соціалістична;Соціалістична
37;;Сошенка;Сошенка
572;;Спаська;Спаська
45;;Срібнокільська;Срібнокільська
709;;Ставропольська;Ставропольська
59;;Стадіонна;Стадіонна
252;;Стальського Сулеймана;Стальського Сулеймана
935;;Станіславського;Станіславського
628;;Старовокзальна;Старовокзальна
452;;Старокиївська;Старокиївська
453;;Старокиївський;Старокиївський
400;;Старонаводницька;Старонаводницька
727;;Старосільська;Старосільська
98;;Стельмаха Михайла;Стельмаха Михайла
594;;Степанченка Василя;Степанченка Василя
454;;Стеценка;Стеценка
909;;Стрiлецька;Стрiлецька
910;;Стрiтенська;Стрiтенська
705;;Стражеска академіка;Стражеска академіка
183;;Стратегічне;Стратегічне
613;;Стрийська;Стрийська
649;;Стрілецька;Стрілецька
646;;Стрітенська;Стрітенська
960;Стешенків сім'ї;Строкача Тимофія;Стешенків сім'ї / Строкача Тимофія
529;;Строкача Тимофія;Строкача Тимофія
308;;Студентська;Студентська
516;;Стуса Василя;Стуса Василя
1007;Омеляновича-Павленка Михайла;Суворова;Омеляновича-Павленка Михайла / Суворова
357;;Суворова;Суворова
627;;Сурікова Василя;Сурікова Василя
39;;Сухумська;Сухумська
680;;Тампере;Тампере
749;Авіаконструктора Ігоря Сікорського;Танкова;Авіаконструктора Ігоря Сікорського / Танкова
103;;Тарасівська;Тарасівська
309;;Татарська;Татарська
556;;Татарський;Татарський
457;;Тбіліський;Тбіліський
394;;Тверська;Тверська
373;;Тверський;Тверський
911;;Телiги Олени;Телiги Олени
141;;Теліги Олени;Теліги Олени
671;Німецька;Тельмана;Німецька / Тельмана
866;;Теодора Драйзера;Теодора Драйзера
149;;Теремківська;Теремківська
469;;Терещенківська;Терещенківська
675;;Тернопільська;Тернопільська
290;;Терьохіна Олексія;Терьохіна Олексія
712;;Тешебаєва;Тешебаєва
385;;Тимірязєвська;Тимірязєвська
912;Провіантська;Тимофєєвої Галi;Провіантська / Тимофєєвої Галi
713;Провіантська;Тимофєєвої Галі;Провіантська / Тимофєєвої Галі
787;;Тимошенка маршала;Тимошенка маршала
622;;Тираспільська;Тираспільська
762;;Тихорецька;Тихорецька
158;;Тичини Павла;Тичини Павла
913;;Толбухiна;Толбухiна
429;;Толбухіна;Толбухіна
107;;Толстого Льва;Толстого Льва
704;;Тополева;Тополева
589;;Травнева;Травнева
914;;Тропiнiна;Тропiнiна
751;;Тропініна;Тропініна
91;;Тростянецька;Тростянецька
750;;Трудова;Трудова
944;Максимовича Михайла;Трутенка Онуфрія;Максимовича Михайла / Трутенка Онуфрія
169;;Трутенка Онуфрія;Трутенка Онуфрія
711;;Трьохсвятительська;Трьохсвятительська
117;;Тулузи;Тулузи
720;;Тульчинська;Тульчинська
558;;Тупикова генерала;Тупикова генерала
677;;Туполєва академіка;Туполєва академіка
307;;Тургенєвська;Тургенєвська
719;;Турівська;Турівська
987;;Турчина Ігоря;Турчина Ігоря
971;Драй-Хмари Михайла;Тухачевського;Драй-Хмари Михайла / Тухачевського
746;;Тухачевського;Тухачевського
959;Єфремова академіка;Уборевича командарма;Єфремова академіка / Уборевича командарма
520;;Уборевича командарма;Уборевича командарма
235;;Ужвій Наталії;Ужвій Наталії
215;;Українки Лесі;Українки Лесі
498;;Українська;Українська
679;;Уманська;Уманська
410;Липківського Василя Митрополита;Урицького;Липківського Василя Митрополита / Урицького
928;;Урицького;Урицького
46;;Урлівська;Урлівська
570;;Урожайна;Урожайна
915;;Уссурiйська;Уссурiйська
916;;Уссурiйський;Уссурiйський
466;;Уссурійська;Уссурійська
467;;Уссурійський;Уссурійський
519;;Ушакова Миколи;Ушакова Миколи
422;;Ушинського;Ушинського
299;;Федорова Івана;Федорова Івана
70;;Феодосійська;Феодосійська
